Date,Ticker,Company Name,Open Price,High Price,Low Price,Close Price,Volume,Sector,Region,Country,% Change,Gain/Loss Indicator,Market Cap,P/E Ratio,Dividend Yield
2024-03-03,AAPL,Apple Inc.,255.82,263.87,244.26999999999998,252.7,436046,Technology,North America,USA,-1.22,Loss,4576.53,44.27,8.03
2024-03-04,AAPL,Apple Inc.,323.31,324.09999999999997,316.32,324.01,963796,Technology,North America,USA,0.22,Gain,2878.38,37.05,6.64
2024-03-05,AAPL,Apple Inc.,424.26,431.09,410.08000000000004,412.41,484686,Technology,North America,USA,-2.79,Loss,5355.66,35.75,6.39
2024-03-06,AAPL,Apple Inc.,358.45,374.47999999999996,357.72999999999996,372.78,148904,Technology,North America,USA,4.0,Gain,3301.05,24.13,0.84
2024-03-07,AAPL,Apple Inc.,269.56,274.51,267.19,273.19,403089,Technology,North America,USA,1.35,Gain,4949.44,18.25,6.74
2024-03-08,AAPL,Apple Inc.,391.49,401.16,389.04,397.5,612114,Technology,North America,USA,1.54,Gain,2394.31,6.64,9.49
2024-03-09,AAPL,Apple Inc.,235.13,244.60999999999999,216.65,224.33,447543,Technology,North America,USA,-4.59,Loss,4315.54,39.02,9.83
2024-03-10,AAPL,Apple Inc.,342.62,342.92,332.40000000000003,335.23,698104,Technology,North America,USA,-2.16,Loss,2496.85,19.56,8.52
2024-03-11,AAPL,Apple Inc.,440.83,446.62,434.78,436.38,52665,Technology,North America,USA,-1.01,Loss,7616.5,42.49,8.88
2024-03-12,AAPL,Apple Inc.,441.0,447.28,419.34,422.27,888366,Technology,North America,USA,-4.25,Loss,2163.75,41.35,7.64
2024-03-13,AAPL,Apple Inc.,200.66,200.95,187.16,190.9,96044,Technology,North America,USA,-4.86,Loss,1902.7,33.49,6.54
2024-03-14,AAPL,Apple Inc.,345.32,368.3,341.33,361.86,898235,Technology,North America,USA,4.79,Gain,2336.78,23.54,6.69
2024-03-15,AAPL,Apple Inc.,138.22,146.5,130.5,143.26,798010,Technology,North America,USA,3.65,Gain,1454.94,39.21,4.78
2024-03-16,AAPL,Apple Inc.,479.1,485.57000000000005,470.21,474.45,301602,Technology,North America,USA,-0.97,Loss,8073.56,36.09,8.43
2024-03-17,AAPL,Apple Inc.,156.78,164.55,149.08,160.78,574799,Technology,North America,USA,2.55,Gain,2756.61,13.91,8.96
2024-03-18,AAPL,Apple Inc.,182.07,195.28,179.79,188.1,637492,Technology,North America,USA,3.31,Gain,2907.81,41.74,8.75
2024-03-19,AAPL,Apple Inc.,396.99,416.16,387.8,407.81,273753,Technology,North America,USA,2.73,Gain,6631.15,36.28,5.28
2024-03-20,AAPL,Apple Inc.,218.76,224.19,201.66000000000003,208.55,472278,Technology,North America,USA,-4.67,Loss,2352.62,48.58,2.7
2024-03-21,AAPL,Apple Inc.,113.79,121.01,104.05000000000001,119.18,366264,Technology,North America,USA,4.74,Gain,1714.57,26.29,9.88
2024-03-22,AAPL,Apple Inc.,146.59,153.08,138.62,142.68,974388,Technology,North America,USA,-2.67,Loss,1887.95,15.24,0.1
2024-03-23,AAPL,Apple Inc.,252.49,266.17,250.61,264.79,635169,Technology,North America,USA,4.87,Gain,1795.8,41.51,9.1
2024-03-24,AAPL,Apple Inc.,226.61,241.16,219.04000000000002,237.22,448573,Technology,North America,USA,4.68,Gain,1225.94,24.48,0.26
2024-03-25,AAPL,Apple Inc.,59.66,64.21,55.94,57.73,409368,Technology,North America,USA,-3.23,Loss,467.42,27.84,9.37
2024-03-26,AAPL,Apple Inc.,461.65,482.71999999999997,461.34,474.02,367446,Technology,North America,USA,2.68,Gain,4825.88,42.56,3.11
2024-03-27,AAPL,Apple Inc.,314.9,317.5,292.53,300.96,205698,Technology,North America,USA,-4.43,Loss,4940.22,10.36,0.72
2024-03-28,AAPL,Apple Inc.,394.1,399.28999999999996,391.82000000000005,397.46,692786,Technology,North America,USA,0.85,Gain,6130.37,11.41,4.74
2024-03-29,AAPL,Apple Inc.,98.45,110.16999999999999,95.59,101.57,652809,Technology,North America,USA,3.17,Gain,621.82,18.62,2.29
2024-03-30,AAPL,Apple Inc.,181.36,183.08,180.11,182.03,784960,Technology,North America,USA,0.37,Gain,2611.15,42.67,4.57
2024-03-31,AAPL,Apple Inc.,296.35,317.12,287.55,307.13,532765,Technology,North America,USA,3.64,Gain,2155.67,19.84,6.1
2024-04-01,AAPL,Apple Inc.,235.89,251.99,228.82,244.43,935155,Technology,North America,USA,3.62,Gain,1269.09,9.39,8.28
2024-04-02,AAPL,Apple Inc.,173.46,181.10999999999999,163.62,175.73,699118,Technology,North America,USA,1.31,Gain,1269.29,20.1,5.82
2024-04-03,AAPL,Apple Inc.,413.01,422.28,390.6,400.29,488093,Technology,North America,USA,-3.08,Loss,4626.22,40.78,5.85
2024-04-04,AAPL,Apple Inc.,490.96,497.79,482.33,494.07,88530,Technology,North America,USA,0.63,Gain,5421.81,30.52,1.21
2024-04-05,AAPL,Apple Inc.,68.05,76.72,55.75,65.02,597506,Technology,North America,USA,-4.45,Loss,718.31,18.06,8.9
2024-04-06,AAPL,Apple Inc.,202.54,203.48999999999998,193.92,194.22,645104,Technology,North America,USA,-4.11,Loss,3796.37,11.37,9.33
2024-04-07,AAPL,Apple Inc.,357.94,371.84000000000003,354.1,369.8,18394,Technology,North America,USA,3.31,Gain,3813.9,17.1,1.46
2024-04-08,AAPL,Apple Inc.,212.6,217.45,204.67,214.2,450929,Technology,North America,USA,0.75,Gain,1901.22,31.77,6.35
2024-04-09,AAPL,Apple Inc.,197.66,206.98,189.25,196.67,70731,Technology,North America,USA,-0.5,Loss,1462.74,26.47,9.01
2024-04-10,AAPL,Apple Inc.,145.04,147.56,138.6,144.66,576055,Technology,North America,USA,-0.26,Loss,2095.66,41.74,5.34
2024-04-11,AAPL,Apple Inc.,446.1,455.65000000000003,440.1,441.04,74406,Technology,North America,USA,-1.13,Loss,2338.16,36.01,0.78
2024-04-12,AAPL,Apple Inc.,153.39,156.54,146.0,147.86,459244,Technology,North America,USA,-3.61,Loss,2900.24,21.2,2.09
2024-04-13,AAPL,Apple Inc.,477.06,482.36,470.95,473.24,364982,Technology,North America,USA,-0.8,Loss,4958.15,45.61,2.41
2024-04-14,AAPL,Apple Inc.,322.68,332.24,309.88,311.78,952708,Technology,North America,USA,-3.38,Loss,2034.17,39.89,6.86
2024-04-15,AAPL,Apple Inc.,340.94,345.12,332.85,338.67,205808,Technology,North America,USA,-0.67,Loss,5946.96,8.55,0.37
2024-04-16,AAPL,Apple Inc.,222.59,227.03,214.22,215.45,334463,Technology,North America,USA,-3.21,Loss,1359.04,43.61,7.28
2024-04-17,AAPL,Apple Inc.,116.41,122.48,108.94,117.54,291003,Technology,North America,USA,0.97,Gain,2140.45,39.72,2.78
2024-04-18,AAPL,Apple Inc.,181.19,187.74,172.12,178.52,638698,Technology,North America,USA,-1.47,Loss,1583.36,44.69,9.1
2024-04-19,AAPL,Apple Inc.,319.8,325.38,308.91,312.22,424193,Technology,North America,USA,-2.37,Loss,1725.01,12.56,5.2
2024-04-20,AAPL,Apple Inc.,387.65,395.7,380.10999999999996,393.12,56967,Technology,North America,USA,1.41,Gain,5728.64,42.3,4.32
2024-04-21,AAPL,Apple Inc.,314.5,332.0,308.65,325.03,408490,Technology,North America,USA,3.35,Gain,2404.92,38.41,8.11
2024-04-22,AAPL,Apple Inc.,306.24,311.56,295.34999999999997,302.7,346744,Technology,North America,USA,-1.16,Loss,2679.64,28.99,8.75
2024-04-23,AAPL,Apple Inc.,148.58,161.52999999999997,140.24,154.14,210332,Technology,North America,USA,3.74,Gain,1945.49,46.17,6.94
2024-04-24,AAPL,Apple Inc.,309.76,309.95,303.83,309.32,894890,Technology,North America,USA,-0.14,Loss,6138.98,7.4,2.53
2024-04-25,AAPL,Apple Inc.,263.06,276.45,260.8,268.87,978602,Technology,North America,USA,2.21,Gain,3198.41,46.37,8.26
2024-04-26,AAPL,Apple Inc.,250.27,253.38000000000002,241.41,249.37,536502,Technology,North America,USA,-0.36,Loss,3212.24,49.67,0.02
2024-04-27,AAPL,Apple Inc.,51.55,57.26,46.4,53.73,782076,Technology,North America,USA,4.23,Gain,504.63,37.22,8.21
2024-04-28,AAPL,Apple Inc.,395.6,395.86,387.81,392.94,864608,Technology,North America,USA,-0.67,Loss,5550.67,34.36,5.77
2024-04-29,AAPL,Apple Inc.,99.17,102.05,91.41,101.95,87444,Technology,North America,USA,2.8,Gain,717.87,20.85,0.07
2024-04-30,AAPL,Apple Inc.,387.42,393.69,377.36,381.95,747178,Technology,North America,USA,-1.41,Loss,6039.14,35.99,6.33
2024-05-01,AAPL,Apple Inc.,411.86,416.02,407.26,412.56,603625,Technology,North America,USA,0.17,Gain,5464.03,19.5,1.93
2024-05-02,AAPL,Apple Inc.,442.34,447.88,420.21000000000004,420.97,630467,Technology,North America,USA,-4.83,Loss,4354.17,13.38,9.11
2024-05-03,AAPL,Apple Inc.,292.77,294.91999999999996,280.94,285.69,403594,Technology,North America,USA,-2.42,Loss,2550.15,36.6,1.04
2024-05-04,AAPL,Apple Inc.,480.02,485.47999999999996,454.09,457.58,74096,Technology,North America,USA,-4.67,Loss,5927.81,12.11,7.47
2024-05-05,AAPL,Apple Inc.,76.66,83.1,67.81,75.55,759548,Technology,North America,USA,-1.45,Loss,903.77,26.6,3.6
2024-05-06,AAPL,Apple Inc.,339.12,343.38,323.9,326.4,974584,Technology,North America,USA,-3.75,Loss,2360.24,21.55,8.39
2024-05-07,AAPL,Apple Inc.,162.36,167.96,159.44000000000003,167.25,582977,Technology,North America,USA,3.01,Gain,1943.07,14.66,4.57
2024-05-08,AAPL,Apple Inc.,257.96,258.64,241.42,245.17,652726,Technology,North America,USA,-4.96,Loss,2413.59,36.74,1.41
2024-05-09,AAPL,Apple Inc.,101.07,111.33,98.1,104.57,924280,Technology,North America,USA,3.46,Gain,1034.37,37.08,4.34
2024-05-10,AAPL,Apple Inc.,188.24,193.32999999999998,185.47,192.7,907380,Technology,North America,USA,2.37,Gain,1265.07,31.59,1.41
2024-05-11,AAPL,Apple Inc.,227.35,232.29,217.35999999999999,222.79,622928,Technology,North America,USA,-2.01,Loss,3514.32,33.7,4.07
2024-05-12,AAPL,Apple Inc.,218.54,233.73,216.89,228.82,624745,Technology,North America,USA,4.7,Gain,2610.97,9.35,2.18
2024-05-13,AAPL,Apple Inc.,335.89,349.32,333.25,341.02,522140,Technology,North America,USA,1.53,Gain,3836.81,42.94,3.12
2024-05-14,AAPL,Apple Inc.,173.93,181.66,167.15,177.68,625886,Technology,North America,USA,2.16,Gain,1032.49,39.59,2.97
2024-05-15,AAPL,Apple Inc.,240.14,240.83999999999997,227.85,237.6,670709,Technology,North America,USA,-1.06,Loss,4711.6,23.98,4.99
2024-05-16,AAPL,Apple Inc.,53.8,61.339999999999996,49.739999999999995,51.55,744346,Technology,North America,USA,-4.18,Loss,871.79,29.7,2.33
2024-05-17,AAPL,Apple Inc.,381.31,390.15,356.78,366.03,929122,Technology,North America,USA,-4.01,Loss,2829.99,32.66,4.6
2024-05-18,AAPL,Apple Inc.,336.38,355.13,326.57,345.26,770602,Technology,North America,USA,2.64,Gain,2985.64,47.82,0.97
2024-05-19,AAPL,Apple Inc.,282.35,289.68,274.37,276.08,807051,Technology,North America,USA,-2.22,Loss,1680.46,17.59,6.78
2024-05-20,AAPL,Apple Inc.,187.78,188.64000000000001,175.82999999999998,184.7,688499,Technology,North America,USA,-1.64,Loss,1831.52,43.68,2.85
2024-05-21,AAPL,Apple Inc.,321.6,324.1,309.19,316.55,16274,Technology,North America,USA,-1.57,Loss,4004.13,31.46,4.35
2024-05-22,AAPL,Apple Inc.,164.51,171.56,155.42,163.42,254001,Technology,North America,USA,-0.66,Loss,2596.07,15.49,3.8
2024-05-23,AAPL,Apple Inc.,189.86,195.47000000000003,183.33,188.02,339086,Technology,North America,USA,-0.97,Loss,1184.0,6.91,6.08
2024-05-24,AAPL,Apple Inc.,57.87,63.78,53.64,57.99,926712,Technology,North America,USA,0.21,Gain,1132.21,18.25,2.13
2024-05-25,AAPL,Apple Inc.,94.92,95.69,90.52,94.78,73573,Technology,North America,USA,-0.15,Loss,1401.97,16.44,1.69
2024-05-26,AAPL,Apple Inc.,380.79,387.96000000000004,374.7,377.06,39695,Technology,North America,USA,-0.98,Loss,6515.25,46.04,2.92
2024-05-27,AAPL,Apple Inc.,244.66,254.96,241.67,252.36,632518,Technology,North America,USA,3.15,Gain,2126.29,30.12,7.74
2024-05-28,AAPL,Apple Inc.,305.22,312.79,290.26,299.06,714460,Technology,North America,USA,-2.02,Loss,3202.81,28.07,5.26
2024-05-29,AAPL,Apple Inc.,446.66,448.81,427.65,437.5,243341,Technology,North America,USA,-2.05,Loss,7017.39,20.85,6.8
2024-05-30,AAPL,Apple Inc.,265.74,277.03000000000003,257.75,276.48,906885,Technology,North America,USA,4.04,Gain,2228.15,27.08,0.56
2024-05-31,AAPL,Apple Inc.,298.17,305.3,285.83,295.33,538726,Technology,North America,USA,-0.95,Loss,5091.07,11.48,3.0
2024-06-01,AAPL,Apple Inc.,94.37,102.49000000000001,85.42,98.12,902084,Technology,North America,USA,3.97,Gain,974.39,37.86,1.08
2024-06-02,AAPL,Apple Inc.,444.13,446.61,428.82,430.53,139022,Technology,North America,USA,-3.06,Loss,8117.85,15.67,8.83
2024-06-03,AAPL,Apple Inc.,105.54,112.83000000000001,92.08999999999999,101.96,669090,Technology,North America,USA,-3.39,Loss,1722.46,43.55,6.73
2024-06-04,AAPL,Apple Inc.,282.59,288.94,271.53999999999996,279.59,987213,Technology,North America,USA,-1.06,Loss,2401.62,28.2,0.06
2024-06-05,AAPL,Apple Inc.,100.95,104.60000000000001,96.92,97.0,50257,Technology,North America,USA,-3.91,Loss,1448.41,6.36,9.1
2024-06-06,AAPL,Apple Inc.,494.04,507.56,486.5,502.95,228135,Technology,North America,USA,1.8,Gain,5233.41,49.75,8.57
2024-06-07,AAPL,Apple Inc.,181.69,185.82999999999998,175.39,180.16,375794,Technology,North America,USA,-0.84,Loss,1153.4,46.01,5.56
2024-06-08,AAPL,Apple Inc.,361.1,367.63,358.62,364.3,789254,Technology,North America,USA,0.89,Gain,5011.93,26.2,4.72
2024-06-09,AAPL,Apple Inc.,269.07,281.16,265.36,275.61,517375,Technology,North America,USA,2.43,Gain,4193.92,15.78,8.32
2024-06-10,AAPL,Apple Inc.,301.62,307.18,279.15,288.06,510850,Technology,North America,USA,-4.5,Loss,3228.7,41.29,3.45
2024-06-11,AAPL,Apple Inc.,453.52,455.88,448.96999999999997,454.35,164396,Technology,North America,USA,0.18,Gain,3862.01,5.03,0.11
2024-06-12,AAPL,Apple Inc.,262.13,271.46,251.57,254.62,680765,Technology,North America,USA,-2.86,Loss,2878.19,17.94,0.76
2024-06-13,AAPL,Apple Inc.,177.17,182.29999999999998,174.63,176.53,428047,Technology,North America,USA,-0.36,Loss,2881.52,21.17,7.36
2024-06-14,AAPL,Apple Inc.,433.23,450.38,426.33000000000004,447.09,912705,Technology,North America,USA,3.2,Gain,7989.41,42.03,3.87
2024-06-15,AAPL,Apple Inc.,310.8,317.40000000000003,299.57,302.3,507574,Technology,North America,USA,-2.73,Loss,3391.69,49.99,9.33
2024-06-16,AAPL,Apple Inc.,155.75,165.61,149.5,150.58,49300,Technology,North America,USA,-3.32,Loss,789.47,16.76,5.62
2024-06-17,AAPL,Apple Inc.,338.65,353.38,335.37,346.87,421436,Technology,North America,USA,2.43,Gain,6885.64,6.43,9.54
2024-06-18,AAPL,Apple Inc.,397.02,411.37,395.57,410.32,189951,Technology,North America,USA,3.35,Gain,4519.57,28.18,9.92
2024-06-19,AAPL,Apple Inc.,107.46,112.83999999999999,98.96,105.49,187764,Technology,North America,USA,-1.83,Loss,1203.56,37.69,9.49
2024-06-20,AAPL,Apple Inc.,343.37,360.77,337.77,359.39,630197,Technology,North America,USA,4.67,Gain,7029.77,21.52,6.37
2024-06-21,AAPL,Apple Inc.,301.27,304.4,290.9,295.53,172036,Technology,North America,USA,-1.91,Loss,4144.03,12.47,3.88
2024-06-22,AAPL,Apple Inc.,53.27,63.85,44.75,54.61,584779,Technology,North America,USA,2.52,Gain,1069.58,11.53,3.15
2024-06-23,AAPL,Apple Inc.,65.1,66.47999999999999,54.849999999999994,62.41,442607,Technology,North America,USA,-4.13,Loss,875.11,25.12,1.73
2024-06-24,AAPL,Apple Inc.,146.08,151.98000000000002,143.52,143.78,640377,Technology,North America,USA,-1.57,Loss,1638.58,19.27,5.76
2024-06-25,AAPL,Apple Inc.,445.16,454.38000000000005,435.32,440.37,599447,Technology,North America,USA,-1.08,Loss,2914.29,27.76,7.09
2024-06-26,AAPL,Apple Inc.,452.94,454.04,445.27,450.43,94379,Technology,North America,USA,-0.55,Loss,4007.09,38.55,1.04
2024-06-27,AAPL,Apple Inc.,265.49,275.84,265.40000000000003,272.46,167677,Technology,North America,USA,2.63,Gain,5033.1,21.6,2.92
2024-06-28,AAPL,Apple Inc.,281.32,284.06,265.64000000000004,273.1,196974,Technology,North America,USA,-2.92,Loss,1415.72,36.78,2.91
2024-06-29,AAPL,Apple Inc.,356.01,364.75,351.15999999999997,358.59,189145,Technology,North America,USA,0.72,Gain,6494.25,37.26,5.02
2024-06-30,AAPL,Apple Inc.,348.37,354.39,343.97999999999996,346.71,281906,Technology,North America,USA,-0.48,Loss,6185.89,37.38,9.62
2024-07-01,AAPL,Apple Inc.,309.88,321.9,303.39,312.34,303580,Technology,North America,USA,0.79,Gain,2559.86,34.66,8.43
2024-07-02,AAPL,Apple Inc.,136.5,142.42,123.62,131.87,403754,Technology,North America,USA,-3.39,Loss,1348.77,16.54,0.65
2024-07-03,AAPL,Apple Inc.,316.55,327.21000000000004,316.42,324.42,572816,Technology,North America,USA,2.49,Gain,4660.75,7.66,1.71
2024-07-04,AAPL,Apple Inc.,102.98,111.89,90.7,100.58,97933,Technology,North America,USA,-2.33,Loss,2011.08,31.69,5.29
2024-07-05,AAPL,Apple Inc.,263.36,263.82,248.43,255.02,736979,Technology,North America,USA,-3.17,Loss,4273.62,45.14,5.12
2024-07-06,AAPL,Apple Inc.,117.29,121.28,116.58000000000001,119.45,198831,Technology,North America,USA,1.84,Gain,1582.1,34.48,9.59
2024-07-07,AAPL,Apple Inc.,109.21,115.44,98.2,105.04,748329,Technology,North America,USA,-3.82,Loss,1232.19,28.94,0.69
2024-07-08,AAPL,Apple Inc.,63.1,72.15,61.08,64.22,58732,Technology,North America,USA,1.77,Gain,562.11,8.3,2.35
